timestamp,total,cidr_count,unique_sni
2026-06-01 10:04:36,3000,2137,1014
2026-06-01 19:24:17,3000,2245,965
2026-06-02 11:52:51,3000,1517,1539
2026-06-02 22:06:13,3000,2148,1134
2026-06-03 12:57:27,3000,1446,1675
2026-06-03 16:04:53,3000,1503,1653
2026-06-03 23:22:05,3000,2563,699
2026-06-04 11:36:28,3000,2064,1158
2026-06-04 19:48:07,3000,1954,1296
2026-06-04 21:28:54,3000,2331,947
2026-06-04 23:07:22,3000,2599,639
2026-06-05 03:32:45,3000,1727,1513
2026-06-05 08:04:23,3000,1663,1188
2026-06-05 12:07:06,3000,1684,1512
2026-06-05 15:51:52,3000,1745,1461
2026-06-05 17:51:53,3000,2244,940
2026-06-05 19:51:19,3000,2471,724
2026-06-05 21:23:27,3000,2471,767
2026-06-05 23:06:18,3000,2507,757
2026-06-06 02:53:45,3000,2099,1080
2026-06-06 06:29:17,3000,2315,861
2026-06-06 09:24:08,3000,1694,1478
2026-06-06 11:24:17,3000,2294,838
2026-06-06 13:27:16,3000,2441,708
2026-06-06 15:13:09,3000,1788,1401
2026-06-06 17:10:55,3000,2066,1094
2026-06-06 19:18:39,3000,1852,1332
2026-06-06 21:01:42,3000,1789,1395
2026-06-06 23:01:17,3000,1983,1195
2026-06-07 03:38:59,3000,2198,759
2026-06-07 07:52:29,3000,1863,1347
2026-06-07 09:05:07,3000,1683,1489
2026-06-07 09:05:59,3000,2177,1006
2026-06-07 09:13:26,3000,1630,1527
2026-06-07 09:13:44,3000,2177,1006
2026-06-07 09:17:35,3000,1683,1489
2026-06-07 09:17:57,3000,2576,580
2026-06-07 10:26:51,3000,1693,1471
2026-06-07 10:37:54,3000,2136,1005
2026-06-07 11:15:33,3000,2217,950
2026-06-07 11:16:14,3000,1846,1312
2026-06-07 11:18:36,100,77,40
2026-06-07 11:21:11,3000,1785,1384
2026-06-07 12:19:15,3000,1788,1378
2026-06-07 14:50:19,3000,2522,647
2026-06-07 16:12:41,3000,2163,1062
2026-06-07 18:02:20,3000,2223,939
2026-06-07 20:09:25,3000,1690,1496
2026-06-07 22:01:51,3000,2154,1052
2026-06-08 00:04:22,3000,2133,1053
2026-06-08 05:28:44,3000,2070,1118
2026-06-08 10:48:43,3000,2153,783
2026-06-08 14:46:49,3000,1713,1492
2026-06-08 17:50:36,3000,1618,1572
2026-06-08 20:11:12,3000,1847,1334
2026-06-08 22:24:50,3000,1671,1534
2026-06-09 00:03:49,3000,2234,943
2026-06-09 05:03:24,3000,2031,1174
2026-06-09 09:38:46,3000,1893,1272
2026-06-09 12:34:58,3000,1693,1480
2026-06-09 15:52:57,3000,1707,1480
